Zone Timestep,Environment:Site Outdoor Air Drybulb Temperature[C]
2009-Jan-02 14:40:00,7.533333333333333
2009-Jan-02 14:50:00,7.466666666666667
2009-Jan-02 15:00:00,7.4
2009-Jan-02 15:10:00,7.283333333333333
2009-Jan-02 15:20:00,7.166666666666668
2009-Jan-02 15:30:00,7.050000000000001
2009-Jan-02 15:40:00,6.933333333333334
2009-Jan-02 15:50:00,6.816666666666667
2009-Jan-02 16:00:00,6.7
2009-Jan-02 16:10:00,6.633333333333334
2009-Jan-02 16:20:00,6.566666666666667
2009-Jan-02 16:30:00,6.5
2009-Jan-02 16:40:00,6.433333333333334
2009-Jan-02 16:50:00,6.366666666666666
2009-Jan-02 17:00:00,6.3
2009-Jan-02 17:10:00,6.216666666666667
2009-Jan-02 17:20:00,6.133333333333333
2009-Jan-02 17:30:00,6.05
2009-Jan-02 17:40:00,5.966666666666667
2009-Jan-02 17:50:00,5.883333333333333
2009-Jan-02 18:00:00,5.8
2009-Jan-02 18:10:00,5.633333333333333
2009-Jan-02 18:20:00,5.466666666666667
2009-Jan-02 18:30:00,5.3
2009-Jan-02 18:40:00,5.133333333333333
2009-Jan-02 18:50:00,4.966666666666667
2009-Jan-02 19:00:00,4.8
2009-Jan-02 19:10:00,4.833333333333333
2009-Jan-02 19:20:00,4.866666666666667
2009-Jan-02 19:30:00,4.9
2009-Jan-02 19:40:00,4.933333333333334
2009-Jan-02 19:50:00,4.966666666666667
2009-Jan-02 20:00:00,5.0
2009-Jan-02 20:10:00,5.033333333333333
2009-Jan-02 20:20:00,5.066666666666667
2009-Jan-02 20:30:00,5.1
2009-Jan-02 20:40:00,5.133333333333334
2009-Jan-02 20:50:00,5.166666666666667
2009-Jan-02 21:00:00,5.2
2009-Jan-02 21:10:00,5.200000000000001
2009-Jan-02 21:20:00,5.200000000000001
2009-Jan-02 21:30:00,5.2
2009-Jan-02 21:40:00,5.2
2009-Jan-02 21:50:00,5.2
2009-Jan-02 22:00:00,5.2
2009-Jan-02 22:10:00,5.283333333333334
2009-Jan-02 22:20:00,5.366666666666667
2009-Jan-02 22:30:00,5.45
2009-Jan-02 22:40:00,5.533333333333333
2009-Jan-02 22:50:00,5.616666666666666
2009-Jan-02 23:00:00,5.7
2009-Jan-02 23:10:00,5.683333333333334
2009-Jan-02 23:20:00,5.666666666666667
2009-Jan-02 23:30:00,5.65
2009-Jan-02 23:40:00,5.633333333333333
2009-Jan-02 23:50:00,5.616666666666667
2009-Jan-03 00:00:00,5.6
2009-Jan-03 00:10:00,5.6000000000000005
2009-Jan-03 00:20:00,5.6
2009-Jan-03 00:30:00,5.6
2009-Jan-03 00:40:00,5.6
2009-Jan-03 00:50:00,5.6
2009-Jan-03 01:00:00,5.6
2009-Jan-03 01:10:00,5.716666666666667
2009-Jan-03 01:20:00,5.833333333333333
2009-Jan-03 01:30:00,5.949999999999999
2009-Jan-03 01:40:00,6.066666666666666
2009-Jan-03 01:50:00,6.183333333333333
2009-Jan-03 02:00:00,6.3
2009-Jan-03 02:10:00,6.466666666666667
2009-Jan-03 02:20:00,6.633333333333333
2009-Jan-03 02:30:00,6.8
2009-Jan-03 02:40:00,6.966666666666667
