Zone Timestep,SURFACE 102:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2],SURFACE 106:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2],SURFACE 110:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2],SURFACE 116:Surface Outside Face Incident Solar Radiation Rate per Area[W/m2]
2009-Jan-02 15:40:00,12.576169886570288,12.888787879099832,8.001192870318874,8.001192870318878
2009-Jan-02 15:50:00,11.53448500051152,12.298031132624303,6.312334784336181,6.312334784336184
2009-Jan-02 16:00:00,0.0,0.0,0.0,0.0
2009-Jan-02 16:10:00,0.0,0.0,0.0,0.0
2009-Jan-02 16:20:00,0.0,0.0,0.0,0.0
2009-Jan-02 16:30:00,0.0,0.0,0.0,0.0
2009-Jan-02 16:40:00,0.0,0.0,0.0,0.0
2009-Jan-02 16:50:00,0.0,0.0,0.0,0.0
2009-Jan-02 17:00:00,0.0,0.0,0.0,0.0
2009-Jan-02 17:10:00,0.0,0.0,0.0,0.0
2009-Jan-02 17:20:00,0.0,0.0,0.0,0.0
2009-Jan-02 17:30:00,0.0,0.0,0.0,0.0
2009-Jan-02 17:40:00,0.0,0.0,0.0,0.0
2009-Jan-02 17:50:00,0.0,0.0,0.0,0.0
2009-Jan-02 18:00:00,0.0,0.0,0.0,0.0
2009-Jan-02 18:10:00,0.0,0.0,0.0,0.0
2009-Jan-02 18:20:00,0.0,0.0,0.0,0.0
2009-Jan-02 18:30:00,0.0,0.0,0.0,0.0
2009-Jan-02 18:40:00,0.0,0.0,0.0,0.0
2009-Jan-02 18:50:00,0.0,0.0,0.0,0.0
2009-Jan-02 19:00:00,0.0,0.0,0.0,0.0
2009-Jan-02 19:10:00,0.0,0.0,0.0,0.0
2009-Jan-02 19:20:00,0.0,0.0,0.0,0.0
2009-Jan-02 19:30:00,0.0,0.0,0.0,0.0
2009-Jan-02 19:40:00,0.0,0.0,0.0,0.0
2009-Jan-02 19:50:00,0.0,0.0,0.0,0.0
2009-Jan-02 20:00:00,0.0,0.0,0.0,0.0
2009-Jan-02 20:10:00,0.0,0.0,0.0,0.0
2009-Jan-02 20:20:00,0.0,0.0,0.0,0.0
2009-Jan-02 20:30:00,0.0,0.0,0.0,0.0
2009-Jan-02 20:40:00,0.0,0.0,0.0,0.0
2009-Jan-02 20:50:00,0.0,0.0,0.0,0.0
2009-Jan-02 21:00:00,0.0,0.0,0.0,0.0
2009-Jan-02 21:10:00,0.0,0.0,0.0,0.0
2009-Jan-02 21:20:00,0.0,0.0,0.0,0.0
2009-Jan-02 21:30:00,0.0,0.0,0.0,0.0
2009-Jan-02 21:40:00,0.0,0.0,0.0,0.0
2009-Jan-02 21:50:00,0.0,0.0,0.0,0.0
2009-Jan-02 22:00:00,0.0,0.0,0.0,0.0
2009-Jan-02 22:10:00,0.0,0.0,0.0,0.0
2009-Jan-02 22:20:00,0.0,0.0,0.0,0.0
2009-Jan-02 22:30:00,0.0,0.0,0.0,0.0
2009-Jan-02 22:40:00,0.0,0.0,0.0,0.0
2009-Jan-02 22:50:00,0.0,0.0,0.0,0.0
2009-Jan-02 23:00:00,0.0,0.0,0.0,0.0
2009-Jan-02 23:10:00,0.0,0.0,0.0,0.0
2009-Jan-02 23:20:00,0.0,0.0,0.0,0.0
2009-Jan-02 23:30:00,0.0,0.0,0.0,0.0
2009-Jan-02 23:40:00,0.0,0.0,0.0,0.0
2009-Jan-02 23:50:00,0.0,0.0,0.0,0.0
2009-Jan-03 00:00:00,0.0,0.0,0.0,0.0
2009-Jan-03 00:10:00,0.0,0.0,0.0,0.0
2009-Jan-03 00:20:00,0.0,0.0,0.0,0.0
2009-Jan-03 00:30:00,0.0,0.0,0.0,0.0
2009-Jan-03 00:40:00,0.0,0.0,0.0,0.0
2009-Jan-03 00:50:00,0.0,0.0,0.0,0.0
2009-Jan-03 01:00:00,0.0,0.0,0.0,0.0
2009-Jan-03 01:10:00,0.0,0.0,0.0,0.0
2009-Jan-03 01:20:00,0.0,0.0,0.0,0.0
2009-Jan-03 01:30:00,0.0,0.0,0.0,0.0
2009-Jan-03 01:40:00,0.0,0.0,0.0,0.0
2009-Jan-03 01:50:00,0.0,0.0,0.0,0.0
2009-Jan-03 02:00:00,0.0,0.0,0.0,0.0
2009-Jan-03 02:10:00,0.0,0.0,0.0,0.0
2009-Jan-03 02:20:00,0.0,0.0,0.0,0.0
2009-Jan-03 02:30:00,0.0,0.0,0.0,0.0
2009-Jan-03 02:40:00,0.0,0.0,0.0,0.0
2009-Jan-03 02:50:00,0.0,0.0,0.0,0.0
2009-Jan-03 03:00:00,0.0,0.0,0.0,0.0
2009-Jan-03 03:10:00,0.0,0.0,0.0,0.0
2009-Jan-03 03:20:00,0.0,0.0,0.0,0.0
2009-Jan-03 03:30:00,0.0,0.0,0.0,0.0
2009-Jan-03 03:40:00,0.0,0.0,0.0,0.0
2009-Jan-03 03:50:00,0.0,0.0,0.0,0.0
2009-Jan-03 04:00:00,0.0,0.0,0.0,0.0
2009-Jan-03 04:10:00,0.0,0.0,0.0,0.0
2009-Jan-03 04:20:00,0.0,0.0,0.0,0.0
2009-Jan-03 04:30:00,0.0,0.0,0.0,0.0
2009-Jan-03 04:40:00,0.0,0.0,0.0,0.0
2009-Jan-03 04:50:00,0.0,0.0,0.0,0.0
2009-Jan-03 05:00:00,0.0,0.0,0.0,0.0
2009-Jan-03 05:10:00,0.0,0.0,0.0,0.0
2009-Jan-03 05:20:00,0.0,0.0,0.0,0.0
2009-Jan-03 05:30:00,0.0,0.0,0.0,0.0
2009-Jan-03 05:40:00,0.0,0.0,0.0,0.0
2009-Jan-03 05:50:00,0.0,0.0,0.0,0.0
2009-Jan-03 06:00:00,0.0,0.0,0.0,0.0
2009-Jan-03 06:10:00,0.0,0.0,0.0,0.0
2009-Jan-03 06:20:00,0.0,0.0,0.0,0.0
2009-Jan-03 06:30:00,0.0,0.0,0.0,0.0
2009-Jan-03 06:40:00,0.0,0.0,0.0,0.0
2009-Jan-03 06:50:00,0.0,0.0,0.0,0.0
2009-Jan-03 07:00:00,0.0,0.0,0.0,0.0
2009-Jan-03 07:10:00,0.0,0.0,0.0,0.0
2009-Jan-03 07:20:00,0.0,0.0,0.0,0.0
2009-Jan-03 07:30:00,0.0,0.0,0.0,0.0
2009-Jan-03 07:40:00,0.0,0.0,0.0,0.0
2009-Jan-03 07:50:00,0.0,0.0,0.0,0.0
2009-Jan-03 08:00:00,0.0,0.0,0.0,0.0
2009-Jan-03 08:10:00,0.0,0.0,0.0,0.0
2009-Jan-03 08:20:00,0.0,0.0,0.0,0.0
2009-Jan-03 08:30:00,1.0183679757823567,1.018367585793617,1.0183679757823567,1.0183679757823572
2009-Jan-03 08:40:00,2.1294589488220392,2.129458132600335,2.1294589488220392,2.12945894882204
2009-Jan-03 08:50:00,3.243674476146804,3.243673232203147,3.243674476146804,3.243674476146806
2009-Jan-03 09:00:00,4.359996233240882,4.359994560571559,4.359996233240882,4.359996233240884
2009-Jan-03 09:10:00,5.4782460902891446,5.478243987975331,5.4782460902891446,5.478246090289147
2009-Jan-03 09:20:00,6.598388654388596,6.598386121528332,6.598388654388596,6.598388654388599
2009-Jan-03 09:30:00,7.720404668550109,7.720401704250613,7.720404668550109,7.720404668550112
2009-Jan-03 09:40:00,9.279198741717192,9.279195177546331,9.279198741717192,9.279198741717195
2009-Jan-03 09:50:00,10.841319400232756,10.841315234605265,10.841319400232756,10.841319400232761
2009-Jan-03 10:00:00,12.406604985222105,12.406600216629753,12.406604985222105,12.40660498522211
2009-Jan-03 10:10:00,13.974950157377059,13.97494478436182,13.974950157377059,13.974950157377066
2009-Jan-03 10:20:00,15.546287219856444,15.54628124099255,15.546287219856444,15.546287219856453
2009-Jan-03 10:30:00,17.120578081957635,17.120571495837467,17.120578081957635,17.120578081957646
2009-Jan-03 10:40:00,18.16973470111718,18.16972771033611,18.16973470111718,18.16973470111719
2009-Jan-03 10:50:00,19.220451242190254,19.22044384600492,19.220451242190254,19.220451242190265
2009-Jan-03 11:00:00,20.2727207551857,20.272712952856033,20.2727207551857,20.272720755185713
2009-Jan-03 11:10:00,21.326557655545137,21.326549446324215,21.326557655545137,21.32655765554515
2009-Jan-03 11:20:00,22.382001556766504,22.381992939888512,22.382001556766504,22.382001556766518
2009-Jan-03 11:30:00,23.43912214402283,23.439113118688752,23.43912214402283,23.43912214402284
2009-Jan-03 11:40:00,38.83196302571954,28.410857741854578,28.41086858581446,29.888807402035454
2009-Jan-03 11:50:00,66.94242221246373,33.75219908822489,33.752211924244406,36.886780182846685
2009-Jan-03 12:00:00,88.03381194132642,38.26758139958591,38.26759583293453,40.878661750680095
2009-Jan-03 12:10:00,110.26946214762816,42.64806088701617,42.64807685386024,43.35519513357822
2009-Jan-03 12:20:00,133.7519401708937,49.62321739210582,46.879367928835265,46.879367928835286
2009-Jan-03 12:30:00,158.63993677009321,58.88367649477097,50.94354117355238,50.943541173552404
2009-Jan-03 12:40:00,140.92480452852553,59.21541006708149,48.49185354683046,48.491853546830484
2009-Jan-03 12:50:00,123.6805271394747,58.31938059992631,45.99103822479517,45.99103822479519
2009-Jan-03 13:00:00,106.8856000998347,56.2575624885581,43.449694345922744,43.44969434592276
2009-Jan-03 13:10:00,90.52999461680828,53.084238723623876,40.87555370895399,40.875553708954
2009-Jan-03 13:20:00,61.474538885593425,44.486431721711405,37.56153386571662,37.56153386571664
2009-Jan-03 13:30:00,46.99435475348534,39.013748146227336,34.93849974815391,34.93849974815393
2009-Jan-03 13:40:00,46.025071329187334,38.40843144659076,33.6802734965649,33.68027349656492
2009-Jan-03 13:50:00,45.241746751412876,37.91354259318965,32.40615917474902,32.406159174749035
