Zone Timestep,THERMAL ZONE 1:Zone Ventilation Mass Flow Rate[kg/s]
2009-Jan-02 12:30:00,0.3171780479297342
2009-Jan-02 12:40:00,0.3150152583279456
2009-Jan-02 12:50:00,0.3131479147673639
2009-Jan-02 13:00:00,0.3113065942032675
2009-Jan-02 13:10:00,0.31070217084456864
2009-Jan-02 13:20:00,0.3107345603482162
2009-Jan-02 13:30:00,0.3105967342861024
2009-Jan-02 13:40:00,0.309983433403937
2009-Jan-02 13:50:00,0.3091137338230507
2009-Jan-02 14:00:00,0.3082331577618718
2009-Jan-02 14:10:00,0.3059066615327606
2009-Jan-02 14:20:00,0.30357182435244495
2009-Jan-02 14:30:00,0.3011914418812936
2009-Jan-02 14:40:00,0.2987824250894534
2009-Jan-02 14:50:00,0.29634714049559446
2009-Jan-02 15:00:00,0.29376944329075033
2009-Jan-02 15:10:00,0.29078843126921705
2009-Jan-02 15:20:00,0.28778404918854544
2009-Jan-02 15:30:00,0.2847493987594795
2009-Jan-02 15:40:00,0.28158717843035586
2009-Jan-02 15:50:00,0.27843932419591194
2009-Jan-02 16:00:00,0.27536885237108566
2009-Jan-02 16:10:00,0.2758711943283182
2009-Jan-02 16:20:00,0.2762552926200444
2009-Jan-02 16:30:00,0.276528471739346
2009-Jan-02 16:40:00,0.27676482326175483
2009-Jan-02 16:50:00,0.27700981165479965
2009-Jan-02 17:00:00,0.27726758298996257
2009-Jan-02 17:10:00,0.2734699746765579
2009-Jan-02 17:20:00,0.26875371421143646
2009-Jan-02 17:30:00,0.26429696343875275
2009-Jan-02 17:40:00,0.26054951318253244
2009-Jan-02 17:50:00,0.25723976215420374
2009-Jan-02 18:00:00,0.2540095684251018
2009-Jan-02 18:10:00,0.2565696220795718
2009-Jan-02 18:20:00,0.2565984503157343
2009-Jan-02 18:30:00,0.2571053590322549
2009-Jan-02 18:40:00,0.25844813166236774
2009-Jan-02 18:50:00,0.2591287099855799
2009-Jan-02 19:00:00,0.26018059862252485
2009-Jan-02 19:10:00,0.26085125336900256
2009-Jan-02 19:20:00,0.26199083976252074
2009-Jan-02 19:30:00,0.2634231724299029
2009-Jan-02 19:40:00,0.26491459876038753
2009-Jan-02 19:50:00,0.26636391594087605
2009-Jan-02 20:00:00,0.2677826163235037
2009-Jan-02 20:10:00,0.2693763589928952
2009-Jan-02 20:20:00,0.26954316371748543
2009-Jan-02 20:30:00,0.2698808416787778
2009-Jan-02 20:40:00,0.2710914455490626
2009-Jan-02 20:50:00,0.2728110314761619
2009-Jan-02 21:00:00,0.2745606487746319
2009-Jan-02 21:10:00,0.2762676304517797
2009-Jan-02 21:20:00,0.2778536715100801
2009-Jan-02 21:30:00,0.27940218401419614
2009-Jan-02 21:40:00,0.2809666885059562
2009-Jan-02 21:50:00,0.28255191145338376
2009-Jan-02 22:00:00,0.2841441767891682
2009-Jan-02 22:10:00,0.28315894347709686
2009-Jan-02 22:20:00,0.27950751302614874
2009-Jan-02 22:30:00,0.2786570218149948
2009-Jan-02 22:40:00,0.2783831153096555
2009-Jan-02 22:50:00,0.2789452887158793
2009-Jan-02 23:00:00,0.2795068275432277
2009-Jan-02 23:10:00,0.28062316131641407
2009-Jan-02 23:20:00,0.2813031163304671
2009-Jan-02 23:30:00,0.28189570143782594
2009-Jan-02 23:40:00,0.2825979785274494
2009-Jan-02 23:50:00,0.2833892925472227
2009-Jan-03 00:00:00,0.2841961591395209
2009-Jan-03 00:10:00,0.2848621259120305
