Zone Timestep,THERMAL ZONE 1:Zone Air Temperature[C]
2009-Jan-02 18:10:00,17.993080529595474
2009-Jan-02 18:20:00,17.79428592197925
2009-Jan-02 18:30:00,17.55225083199681
2009-Jan-02 18:40:00,17.32199873193452
2009-Jan-02 18:50:00,17.142534145179564
2009-Jan-02 19:00:00,17.00930724594148
2009-Jan-02 19:10:00,16.940532867866672
2009-Jan-02 19:20:00,16.91208726395748
2009-Jan-02 19:30:00,16.891917895990183
2009-Jan-02 19:40:00,16.866126902091292
2009-Jan-02 19:50:00,16.836288185118057
2009-Jan-02 20:00:00,16.808643908859974
2009-Jan-02 20:10:00,16.584886664143195
2009-Jan-02 20:20:00,16.384697221890967
2009-Jan-02 20:30:00,16.304812624240782
2009-Jan-02 20:40:00,16.29525825083257
2009-Jan-02 20:50:00,16.29010241023714
2009-Jan-02 21:00:00,16.26793900013577
2009-Jan-02 21:10:00,16.229269966885827
2009-Jan-02 21:20:00,16.185590624643492
2009-Jan-02 21:30:00,16.144285629049747
2009-Jan-02 21:40:00,16.10601045077696
2009-Jan-02 21:50:00,16.068878632233666
2009-Jan-02 22:00:00,16.031764651807784
2009-Jan-02 22:10:00,15.624238748045219
2009-Jan-02 22:20:00,15.258518708325747
2009-Jan-02 22:30:00,15.167757766559168
2009-Jan-02 22:40:00,15.219511542589085
2009-Jan-02 22:50:00,15.27131158394141
2009-Jan-02 23:00:00,15.287849327685866
2009-Jan-02 23:10:00,15.243913673740225
2009-Jan-02 23:20:00,15.187914626991025
2009-Jan-02 23:30:00,15.147219774859394
2009-Jan-02 23:40:00,15.118974671654247
2009-Jan-02 23:50:00,15.092975122560896
2009-Jan-03 00:00:00,15.065049859170061
2009-Jan-03 00:10:00,15.029499535961163
2009-Jan-03 00:20:00,14.999484242516468
2009-Jan-03 00:30:00,14.977860097989636
2009-Jan-03 00:40:00,14.96017086718167
2009-Jan-03 00:50:00,14.942710238011273
2009-Jan-03 01:00:00,14.924819268337021
2009-Jan-03 01:10:00,14.944543358043193
2009-Jan-03 01:20:00,14.996691422672441
2009-Jan-03 01:30:00,15.059317704434092
2009-Jan-03 01:40:00,15.120652782063738
2009-Jan-03 01:50:00,15.180286369799385
2009-Jan-03 02:00:00,15.241148630287086
2009-Jan-03 02:10:00,15.299468383609751
2009-Jan-03 02:20:00,15.355746625048694
2009-Jan-03 02:30:00,15.41236105912457
2009-Jan-03 02:40:00,15.47078042982826
