Zone Timestep,ZONE HVAC BASEBOARD RAD CONV WATER:Baseboard Total Heating Rate[W]
2009-Jan-02 03:10:00,507.4602973250987
2009-Jan-02 03:20:00,511.58846062596757
2009-Jan-02 03:30:00,515.9622681188628
2009-Jan-02 03:40:00,519.5022235832599
2009-Jan-02 03:50:00,523.1095337761931
2009-Jan-02 04:00:00,527.2394069155846
2009-Jan-02 04:10:00,518.2149082189109
2009-Jan-02 04:20:00,511.31399081921444
2009-Jan-02 04:30:00,502.3454219604882
2009-Jan-02 04:40:00,474.805812122211
2009-Jan-02 04:50:00,461.8172404387251
2009-Jan-02 05:00:00,452.7734356690838
2009-Jan-02 05:10:00,417.3602188814767
2009-Jan-02 05:20:00,418.8203726296371
2009-Jan-02 05:30:00,418.1372027013998
2009-Jan-02 05:40:00,418.15895665650544
2009-Jan-02 05:50:00,418.17673557653524
2009-Jan-02 06:00:00,418.1842715020191
2009-Jan-02 06:10:00,2697.538764646915
2009-Jan-02 06:20:00,2587.692789608737
2009-Jan-02 06:30:00,2449.185457812102
2009-Jan-02 06:40:00,2360.5938140098397
2009-Jan-02 06:50:00,1810.7784694584388
2009-Jan-02 07:00:00,1539.3359084232475
2009-Jan-02 07:10:00,1398.5724961984636
2009-Jan-02 07:20:00,1286.3597744811698
2009-Jan-02 07:30:00,1229.5827620530777
2009-Jan-02 07:40:00,1183.992487182716
2009-Jan-02 07:50:00,1144.0162038026785
2009-Jan-02 08:00:00,1115.4570156224186
2009-Jan-02 08:10:00,218.2465037576577
2009-Jan-02 08:20:00,251.95549526112416
2009-Jan-02 08:30:00,224.10839526996028
2009-Jan-02 08:40:00,221.53966821342
2009-Jan-02 08:50:00,212.88009224449794
2009-Jan-02 09:00:00,204.82321987670446
2009-Jan-02 09:10:00,196.81709998224125
2009-Jan-02 09:20:00,189.11127293309744
2009-Jan-02 09:30:00,181.78360368791152
2009-Jan-02 09:40:00,172.92619185295672
2009-Jan-02 09:50:00,163.49860971325774
2009-Jan-02 10:00:00,95.92022622238798
2009-Jan-02 10:10:00,79.40555602973193
2009-Jan-02 10:20:00,66.6827040425475
2009-Jan-02 10:30:00,52.55891371161234
2009-Jan-02 10:40:00,41.91627509873113
2009-Jan-02 10:50:00,30.791844931203634
2009-Jan-02 11:00:00,20.72339626080119
2009-Jan-02 11:10:00,13.859927097017932
2009-Jan-02 11:20:00,7.643052743064159
2009-Jan-02 11:30:00,1.430491903006197
2009-Jan-02 11:40:00,0.0
2009-Jan-02 11:50:00,0.0
2009-Jan-02 12:00:00,0.0
2009-Jan-02 12:10:00,138.77387498441675
2009-Jan-02 12:20:00,154.39713796302726
2009-Jan-02 12:30:00,136.41754983251897
2009-Jan-02 12:40:00,133.35671220750783
2009-Jan-02 12:50:00,127.66742639328645
2009-Jan-02 13:00:00,124.40683225931332
2009-Jan-02 13:10:00,0.0
2009-Jan-02 13:20:00,0.0
2009-Jan-02 13:30:00,0.0
2009-Jan-02 13:40:00,0.0
2009-Jan-02 13:50:00,0.0
2009-Jan-02 14:00:00,0.0
2009-Jan-02 14:10:00,0.0
2009-Jan-02 14:20:00,0.0
2009-Jan-02 14:30:00,0.0
2009-Jan-02 14:40:00,0.0
2009-Jan-02 14:50:00,0.0
2009-Jan-02 15:00:00,0.0
2009-Jan-02 15:10:00,0.0
2009-Jan-02 15:20:00,0.0
2009-Jan-02 15:30:00,0.0
2009-Jan-02 15:40:00,0.0
2009-Jan-02 15:50:00,19.43789854970718
2009-Jan-02 16:00:00,51.57082313242545
2009-Jan-02 16:10:00,50.1807747747615
2009-Jan-02 16:20:00,65.49247537824364
2009-Jan-02 16:30:00,72.37196265877687
2009-Jan-02 16:40:00,78.62204827575559
2009-Jan-02 16:50:00,83.31639179456816
2009-Jan-02 17:00:00,87.19369487435279
2009-Jan-02 17:10:00,325.16184685517896
2009-Jan-02 17:20:00,314.0374197699966
2009-Jan-02 17:30:00,317.9268426947633
2009-Jan-02 17:40:00,316.55447072058035
2009-Jan-02 17:50:00,316.515458137413
2009-Jan-02 18:00:00,316.46664438339695
2009-Jan-02 18:10:00,657.4087030352349
2009-Jan-02 18:20:00,641.9410748993438
2009-Jan-02 18:30:00,651.1660601393528
2009-Jan-02 18:40:00,651.0990064999778
2009-Jan-02 18:50:00,654.6250086120394
2009-Jan-02 19:00:00,658.1522657751573
2009-Jan-02 19:10:00,656.006288072748
2009-Jan-02 19:20:00,654.4689295087501
2009-Jan-02 19:30:00,653.2817365530514
2009-Jan-02 19:40:00,652.1543859974826
2009-Jan-02 19:50:00,650.9059908583963
2009-Jan-02 20:00:00,649.8044245345861
2009-Jan-02 20:10:00,934.7810574864433
2009-Jan-02 20:20:00,918.4210178784512
2009-Jan-02 20:30:00,920.4159942234852
2009-Jan-02 20:40:00,914.2632158896827
2009-Jan-02 20:50:00,912.2344023302853
2009-Jan-02 21:00:00,908.2412697905042
2009-Jan-02 21:10:00,908.38895058929
2009-Jan-02 21:20:00,908.3857371802912
2009-Jan-02 21:30:00,910.3721531837194
2009-Jan-02 21:40:00,908.3731253752851
2009-Jan-02 21:50:00,912.3702487208718
2009-Jan-02 22:00:00,910.3655464541923
2009-Jan-02 22:10:00,0.0
2009-Jan-02 22:20:00,0.0
2009-Jan-02 22:30:00,0.0
2009-Jan-02 22:40:00,0.0
2009-Jan-02 22:50:00,0.0
2009-Jan-02 23:00:00,0.0
2009-Jan-02 23:10:00,0.0
2009-Jan-02 23:20:00,0.0
2009-Jan-02 23:30:00,141.27987614426596
2009-Jan-02 23:40:00,197.45551520833823
2009-Jan-02 23:50:00,209.2072945625118
2009-Jan-03 00:00:00,252.4409749589722
2009-Jan-03 00:10:00,288.2176996082369
2009-Jan-03 00:20:00,309.44995015486165
2009-Jan-03 00:30:00,329.91709972157753
2009-Jan-03 00:40:00,348.5746405184385
2009-Jan-03 00:50:00,365.00549754341534
2009-Jan-03 01:00:00,378.3147526414146
2009-Jan-03 01:10:00,385.9720003246793
2009-Jan-03 01:20:00,391.72074349570715
2009-Jan-03 01:30:00,396.4297134740273
2009-Jan-03 01:40:00,399.6735048202306
2009-Jan-03 01:50:00,402.08346876823606
2009-Jan-03 02:00:00,403.7985646921434
2009-Jan-03 02:10:00,401.16376552945223
2009-Jan-03 02:20:00,399.200425963526
2009-Jan-03 02:30:00,395.05186097466907
2009-Jan-03 02:40:00,392.33900501167665
2009-Jan-03 02:50:00,386.72894791168267
2009-Jan-03 03:00:00,383.2843687750896
2009-Jan-03 03:10:00,387.96866642728287
2009-Jan-03 03:20:00,392.9489769778531
2009-Jan-03 03:30:00,398.7315269032414
2009-Jan-03 03:40:00,377.59608024063476
2009-Jan-03 03:50:00,379.5950099341237
2009-Jan-03 04:00:00,381.0271977661186
2009-Jan-03 04:10:00,382.2152297837148
2009-Jan-03 04:20:00,380.71571583390613
2009-Jan-03 04:30:00,407.70911644549113
2009-Jan-03 04:40:00,410.81633277494615
2009-Jan-03 04:50:00,413.0782401906893
2009-Jan-03 05:00:00,414.5550331972534
2009-Jan-03 05:10:00,380.99211512212844
2009-Jan-03 05:20:00,383.9401526530179
2009-Jan-03 05:30:00,382.5998321852469
2009-Jan-03 05:40:00,383.28133151986634
2009-Jan-03 05:50:00,383.30365080659476
2009-Jan-03 06:00:00,383.32673005262984
2009-Jan-03 06:10:00,2696.0430628561953
2009-Jan-03 06:20:00,2585.7521077669544
2009-Jan-03 06:30:00,2449.7086369249073
2009-Jan-03 06:40:00,2342.593132594182
2009-Jan-03 06:50:00,1807.1698353236968
2009-Jan-03 07:00:00,1541.880095498928
2009-Jan-03 07:10:00,1398.835490993871
2009-Jan-03 07:20:00,1286.6198242440046
2009-Jan-03 07:30:00,1234.8475362113381
2009-Jan-03 07:40:00,1148.8362493973757
2009-Jan-03 07:50:00,1108.8703938251567
2009-Jan-03 08:00:00,1074.2517608159797
2009-Jan-03 08:10:00,178.07366158187523
