Zone Timestep,SURFACE 101:Surface Inside Face Temperature[C]
2009-Jan-02 19:50:00,17.49803314849566
2009-Jan-02 20:00:00,17.480187254062862
2009-Jan-02 20:10:00,17.427070695228167
2009-Jan-02 20:20:00,17.378106797634477
2009-Jan-02 20:30:00,17.341958403100936
2009-Jan-02 20:40:00,17.318184456429034
2009-Jan-02 20:50:00,17.299892065138728
2009-Jan-02 21:00:00,17.282457767830074
2009-Jan-02 21:10:00,17.26204419003055
2009-Jan-02 21:20:00,17.241122804561638
2009-Jan-02 21:30:00,17.220529977286358
2009-Jan-02 21:40:00,17.20078999782997
2009-Jan-02 21:50:00,17.181630735488003
2009-Jan-02 22:00:00,17.16294237986106
2009-Jan-02 22:10:00,17.074912383701534
2009-Jan-02 22:20:00,16.993621585555328
2009-Jan-02 22:30:00,16.926844793333988
2009-Jan-02 22:40:00,16.903822802099352
2009-Jan-02 22:50:00,16.889731321930622
2009-Jan-02 23:00:00,16.87556619214666
2009-Jan-02 23:10:00,16.853990290983116
2009-Jan-02 23:20:00,16.829320906408267
2009-Jan-02 23:30:00,16.806282393474447
2009-Jan-02 23:40:00,16.786366448351043
2009-Jan-02 23:50:00,16.76806451001493
2009-Jan-03 00:00:00,16.750619985492236
2009-Jan-03 00:10:00,16.729890598975402
2009-Jan-03 00:20:00,16.712193106180713
2009-Jan-03 00:30:00,16.69627959184736
2009-Jan-03 00:40:00,16.682089856789602
2009-Jan-03 00:50:00,16.66867208490871
2009-Jan-03 01:00:00,16.655964102791266
2009-Jan-03 01:10:00,16.64944129157482
2009-Jan-03 01:20:00,16.65105005191324
2009-Jan-03 01:30:00,16.656813411456657
2009-Jan-03 01:40:00,16.665068265748648
2009-Jan-03 01:50:00,16.6742404670506
2009-Jan-03 02:00:00,16.685121661125166
2009-Jan-03 02:10:00,16.696327076812082
2009-Jan-03 02:20:00,16.70780433269866
2009-Jan-03 02:30:00,16.72017107302326
2009-Jan-03 02:40:00,16.733499276629527
2009-Jan-03 02:50:00,16.747520028756387
2009-Jan-03 03:00:00,16.76233648169624
2009-Jan-03 03:10:00,16.772849908715816
2009-Jan-03 03:20:00,16.77861388392537
2009-Jan-03 03:30:00,16.782346100262995
2009-Jan-03 03:40:00,16.806177929241873
2009-Jan-03 03:50:00,16.81445455591559
2009-Jan-03 04:00:00,16.821248871112125
2009-Jan-03 04:10:00,16.827666281196706
2009-Jan-03 04:20:00,16.832721246997007
2009-Jan-03 04:30:00,16.815191377091352
2009-Jan-03 04:40:00,16.813540765109682
2009-Jan-03 04:50:00,16.812449916555735
2009-Jan-03 05:00:00,16.812404533969563
2009-Jan-03 05:10:00,16.815525779143858
2009-Jan-03 05:20:00,16.819066461515288
2009-Jan-03 05:30:00,16.820598987183825
2009-Jan-03 05:40:00,16.821353192290793
2009-Jan-03 05:50:00,16.821639955279437
2009-Jan-03 06:00:00,16.82201669360822
2009-Jan-03 06:10:00,16.86168669367344
2009-Jan-03 06:20:00,16.9100179319788
2009-Jan-03 06:30:00,16.945545457565384
2009-Jan-03 06:40:00,16.97075712877964
2009-Jan-03 06:50:00,16.990922543797428
2009-Jan-03 07:00:00,17.012431292242685
2009-Jan-03 07:10:00,17.048034643272416
2009-Jan-03 07:20:00,17.078909168198667
2009-Jan-03 07:30:00,17.10117635139146
2009-Jan-03 07:40:00,17.142357224010112
2009-Jan-03 07:50:00,17.162008256817792
2009-Jan-03 08:00:00,17.180408884694593
2009-Jan-03 08:10:00,17.30187527073096
2009-Jan-03 08:20:00,17.365725997935098
2009-Jan-03 08:30:00,17.396018433274037
2009-Jan-03 08:40:00,17.42571672089356
2009-Jan-03 08:50:00,17.447482191383187
2009-Jan-03 09:00:00,17.467261968773858
2009-Jan-03 09:10:00,17.48953519656101
2009-Jan-03 09:20:00,17.511550476979185
2009-Jan-03 09:30:00,17.532762184782385
2009-Jan-03 09:40:00,17.552399989270686
2009-Jan-03 09:50:00,17.571824956421874
2009-Jan-03 10:00:00,17.590264182309472
2009-Jan-03 10:10:00,17.61032902842519
2009-Jan-03 10:20:00,17.631602534395796
2009-Jan-03 10:30:00,17.65477508942576
2009-Jan-03 10:40:00,17.67724802475861
2009-Jan-03 10:50:00,17.699751334364073
2009-Jan-03 11:00:00,17.722479645903096
2009-Jan-03 11:10:00,17.74516927017016
2009-Jan-03 11:20:00,17.767868604681464
2009-Jan-03 11:30:00,17.790569844900258
2009-Jan-03 11:40:00,17.850718903464237
2009-Jan-03 11:50:00,17.888028470017492
2009-Jan-03 12:00:00,17.924957331453786
2009-Jan-03 12:10:00,17.92062968605288
2009-Jan-03 12:20:00,17.913673447428994
2009-Jan-03 12:30:00,17.904845378179587
2009-Jan-03 12:40:00,17.90941963753583
2009-Jan-03 12:50:00,17.891470705560952
2009-Jan-03 13:00:00,17.87148563494061
2009-Jan-03 13:10:00,17.87497811372854
2009-Jan-03 13:20:00,17.87948993411943
2009-Jan-03 13:30:00,17.8812166196132
2009-Jan-03 13:40:00,17.89543506215969
2009-Jan-03 13:50:00,17.90900142280415
2009-Jan-03 14:00:00,17.92488535501046
2009-Jan-03 14:10:00,17.939045421171272
2009-Jan-03 14:20:00,17.95025995008547
2009-Jan-03 14:30:00,17.954904325073493
2009-Jan-03 14:40:00,17.948880266909313
2009-Jan-03 14:50:00,17.946953980294435
2009-Jan-03 15:00:00,17.934397779098084
2009-Jan-03 15:10:00,17.925774423890985
2009-Jan-03 15:20:00,17.917360534622365
2009-Jan-03 15:30:00,17.90925413581226
2009-Jan-03 15:40:00,17.909019552660446
2009-Jan-03 15:50:00,17.90980192291399
2009-Jan-03 16:00:00,17.900657531429577
2009-Jan-03 16:10:00,17.898056770640547
2009-Jan-03 16:20:00,17.887142615812593
2009-Jan-03 16:30:00,17.87146161422176
2009-Jan-03 16:40:00,17.852724308556507
2009-Jan-03 16:50:00,17.83300745609289
2009-Jan-03 17:00:00,17.81153949857791
2009-Jan-03 17:10:00,17.77093083571251
2009-Jan-03 17:20:00,17.737159225008398
2009-Jan-03 17:30:00,17.68925708474008
2009-Jan-03 17:40:00,17.64936305236901
2009-Jan-03 17:50:00,17.613695501370664
2009-Jan-03 18:00:00,17.577386152189597
2009-Jan-03 18:10:00,17.494491175046747
2009-Jan-03 18:20:00,17.43275225353864
2009-Jan-03 18:30:00,17.378969061640664
2009-Jan-03 18:40:00,17.334298650052013
2009-Jan-03 18:50:00,17.296266882898028
2009-Jan-03 19:00:00,17.25980090165039
2009-Jan-03 19:10:00,17.22554489396383
2009-Jan-03 19:20:00,17.194975606336644
2009-Jan-03 19:30:00,17.16741668579862
2009-Jan-03 19:40:00,17.141945991648573
2009-Jan-03 19:50:00,17.117446763223995
2009-Jan-03 20:00:00,17.09421985289088
2009-Jan-03 20:10:00,17.02864812337898
2009-Jan-03 20:20:00,16.962927942860134
2009-Jan-03 20:30:00,16.908887844925037
2009-Jan-03 20:40:00,16.868093630893462
2009-Jan-03 20:50:00,16.831084514267772
2009-Jan-03 21:00:00,16.793135206090636
2009-Jan-03 21:10:00,16.762270883347362
2009-Jan-03 21:20:00,16.740567954934832
2009-Jan-03 21:30:00,16.726624389074743
2009-Jan-03 21:40:00,16.71570989518879
2009-Jan-03 21:50:00,16.706044330101086
2009-Jan-03 22:00:00,16.698567072684842
2009-Jan-03 22:10:00,16.599074222965164
2009-Jan-03 22:20:00,16.500137021088527
2009-Jan-03 22:30:00,16.444159260206227
2009-Jan-03 22:40:00,16.409268563276385
2009-Jan-03 22:50:00,16.37908780533438
2009-Jan-03 23:00:00,16.34469753458755
2009-Jan-03 23:10:00,16.311310484894012
2009-Jan-03 23:20:00,16.286761434733922
2009-Jan-03 23:30:00,16.271300516648893
2009-Jan-03 23:40:00,16.260948288530738
2009-Jan-03 23:50:00,16.25233981702841
2009-Jan-04 00:00:00,16.24597106524864
2009-Jan-04 00:10:00,16.235914843930534
2009-Jan-04 00:20:00,16.229357746537904
2009-Jan-04 00:30:00,16.193568178766963
2009-Jan-04 00:40:00,16.182920418715725
2009-Jan-04 00:50:00,16.17561020384263
2009-Jan-04 01:00:00,16.17183350530429
2009-Jan-04 01:10:00,16.15808694205615
2009-Jan-04 01:20:00,16.13020342770762
2009-Jan-04 01:30:00,16.09527552949643
2009-Jan-04 01:40:00,16.08666414625029
2009-Jan-04 01:50:00,16.05572756300834
2009-Jan-04 02:00:00,16.022482939499618
2009-Jan-04 02:10:00,15.998156629539144
2009-Jan-04 02:20:00,15.98481365233553
2009-Jan-04 02:30:00,15.978393681153092
2009-Jan-04 02:40:00,15.974082746301999
2009-Jan-04 02:50:00,15.970008704257285
2009-Jan-04 03:00:00,15.967311268954065
2009-Jan-04 03:10:00,15.962367356049347
2009-Jan-04 03:20:00,15.956700343865126
2009-Jan-04 03:30:00,15.950210989620247
2009-Jan-04 03:40:00,15.944178417730315
2009-Jan-04 03:50:00,15.938909737197324
2009-Jan-04 04:00:00,15.93436622894047
2009-Jan-04 04:10:00,15.927924197489135
2009-Jan-04 04:20:00,15.916721814756857
2009-Jan-04 04:30:00,15.902987359423255
2009-Jan-04 04:40:00,15.888385478163368
2009-Jan-04 04:50:00,15.873651409270895
2009-Jan-04 05:00:00,15.8583674751492
2009-Jan-04 05:10:00,15.844203109742304
2009-Jan-04 05:20:00,15.827992481721601
2009-Jan-04 05:30:00,15.808303515907397
2009-Jan-04 05:40:00,15.786190445148417
2009-Jan-04 05:50:00,15.763300245101366
2009-Jan-04 06:00:00,15.739832669149875
2009-Jan-04 06:10:00,15.772404830809744
2009-Jan-04 06:20:00,15.819005203914744
2009-Jan-04 06:30:00,15.844155468239814
2009-Jan-04 06:40:00,15.851300731604727
2009-Jan-04 06:50:00,15.853369965955048
2009-Jan-04 07:00:00,15.856835940834662
2009-Jan-04 07:10:00,15.884277252267436
2009-Jan-04 07:20:00,15.909122661519199
2009-Jan-04 07:30:00,15.922794088312994
2009-Jan-04 07:40:00,15.928308352427896
2009-Jan-04 07:50:00,15.931209240961017
2009-Jan-04 08:00:00,15.934008466886871
2009-Jan-04 08:10:00,16.07478391534041
2009-Jan-04 08:20:00,16.153605429362788
2009-Jan-04 08:30:00,16.188254281653325
2009-Jan-04 08:40:00,16.189742827162053
2009-Jan-04 08:50:00,16.178123718490493
2009-Jan-04 09:00:00,16.16812197106052
2009-Jan-04 09:10:00,16.17270224557218
2009-Jan-04 09:20:00,16.189343148040898
2009-Jan-04 09:30:00,16.208770441943557
2009-Jan-04 09:40:00,16.22771515492556
2009-Jan-04 09:50:00,16.246213143015947
2009-Jan-04 10:00:00,16.26518173798555
2009-Jan-04 10:10:00,16.289047663677707
2009-Jan-04 10:20:00,16.316591518082163
2009-Jan-04 10:30:00,16.31807950231162
2009-Jan-04 10:40:00,16.34577875697254
2009-Jan-04 10:50:00,16.37558326487384
2009-Jan-04 11:00:00,16.444510632655756
2009-Jan-04 11:10:00,16.485094975368728
2009-Jan-04 11:20:00,16.52304165419234
2009-Jan-04 11:30:00,16.557135708094762
2009-Jan-04 11:40:00,16.608989575360106
2009-Jan-04 11:50:00,16.642229923206106
2009-Jan-04 12:00:00,16.67450319610952
2009-Jan-04 12:10:00,16.676333661943406
2009-Jan-04 12:20:00,16.690133199211818
2009-Jan-04 12:30:00,16.715317109585577
2009-Jan-04 12:40:00,16.745476361494383
2009-Jan-04 12:50:00,16.777746557165145
2009-Jan-04 13:00:00,16.809601235528525
2009-Jan-04 13:10:00,16.87490869576898
2009-Jan-04 13:20:00,16.93141858051174
2009-Jan-04 13:30:00,16.98395259468652
2009-Jan-04 13:40:00,17.029197033537518
2009-Jan-04 13:50:00,17.071277907684635
2009-Jan-04 14:00:00,17.112800730784862
2009-Jan-04 14:10:00,17.13509227301133
2009-Jan-04 14:20:00,17.148290690406657
2009-Jan-04 14:30:00,17.16746404361329
2009-Jan-04 14:40:00,17.186303668037585
2009-Jan-04 14:50:00,17.204114605234455
2009-Jan-04 15:00:00,17.219792467615086
2009-Jan-04 15:10:00,17.231948054858886
2009-Jan-04 15:20:00,17.239770637372747
2009-Jan-04 15:30:00,17.24418656748919
2009-Jan-04 15:40:00,17.24772473123442
2009-Jan-04 15:50:00,17.250483525626038
2009-Jan-04 16:00:00,17.24249717284694
2009-Jan-04 16:10:00,17.24148278237352
2009-Jan-04 16:20:00,17.23791554447121
2009-Jan-04 16:30:00,17.232540455163527
2009-Jan-04 16:40:00,17.22550640842502
2009-Jan-04 16:50:00,17.217428403821135
2009-Jan-04 17:00:00,17.208103565585162
2009-Jan-04 17:10:00,17.17781641627668
2009-Jan-04 17:20:00,17.147766983253987
2009-Jan-04 17:30:00,17.126096763696278
2009-Jan-04 17:40:00,17.112171209882376
2009-Jan-04 17:50:00,17.102910490260363
2009-Jan-04 18:00:00,17.09497331205581
2009-Jan-04 18:10:00,17.044202852284904
2009-Jan-04 18:20:00,16.98990038501898
2009-Jan-04 18:30:00,16.94577877647389
2009-Jan-04 18:40:00,16.915423272807665
2009-Jan-04 18:50:00,16.89088932883359
2009-Jan-04 19:00:00,16.866681530033638
2009-Jan-04 19:10:00,16.845344130313332
2009-Jan-04 19:20:00,16.828897344168386
2009-Jan-04 19:30:00,16.81662585795207
2009-Jan-04 19:40:00,16.807016611543297
2009-Jan-04 19:50:00,16.798284336927622
2009-Jan-04 20:00:00,16.790574203154325
2009-Jan-04 20:10:00,16.741424909232222
2009-Jan-04 20:20:00,16.690038998203935
2009-Jan-04 20:30:00,16.648735294534433
2009-Jan-04 20:40:00,16.621485654312377
2009-Jan-04 20:50:00,16.599221997309737
2009-Jan-04 21:00:00,16.57616474168142
2009-Jan-04 21:10:00,16.551209823606115
2009-Jan-04 21:20:00,16.52642602111311
2009-Jan-04 21:30:00,16.502546875438647
2009-Jan-04 21:40:00,16.479489081824216
2009-Jan-04 21:50:00,16.456785842489534
2009-Jan-04 22:00:00,16.434181411070146
2009-Jan-04 22:10:00,16.325007380602607
2009-Jan-04 22:20:00,16.217545075132165
2009-Jan-04 22:30:00,16.15381893131931
2009-Jan-04 22:40:00,16.11261859645537
2009-Jan-04 22:50:00,16.075999249303536
2009-Jan-04 23:00:00,16.034263118044162
2009-Jan-04 23:10:00,15.988452170827191
2009-Jan-04 23:20:00,15.945643811450532
2009-Jan-04 23:30:00,15.908616621444425
2009-Jan-04 23:40:00,15.87471641541301
2009-Jan-04 23:50:00,15.841886830461249
2009-Jan-05 00:00:00,15.809899094580745
2009-Jan-05 00:10:00,15.782203945758221
2009-Jan-05 00:20:00,15.766884655638309
2009-Jan-05 00:30:00,15.758662053157284
2009-Jan-05 00:40:00,15.754786770278702
2009-Jan-05 00:50:00,15.75268522809985
2009-Jan-05 01:00:00,15.753248562732587
2009-Jan-05 01:10:00,15.752169303501427
2009-Jan-05 01:20:00,15.748713332144002
2009-Jan-05 01:30:00,15.744976469770519
2009-Jan-05 01:40:00,15.741753345643197
2009-Jan-05 01:50:00,15.739327424327472
2009-Jan-05 02:00:00,15.737624468698023
2009-Jan-05 02:10:00,15.7313894690485
2009-Jan-05 02:20:00,15.719058605267238
2009-Jan-05 02:30:00,15.70354615708802
2009-Jan-05 02:40:00,15.686654802999566
2009-Jan-05 02:50:00,15.669423036461643
2009-Jan-05 03:00:00,15.651274895490209
2009-Jan-05 03:10:00,15.633842395987246
2009-Jan-05 03:20:00,15.617471530294566
2009-Jan-05 03:30:00,15.601746539791726
2009-Jan-05 03:40:00,15.586013762242962
2009-Jan-05 03:50:00,15.570162754221965
2009-Jan-05 04:00:00,15.554288615376679
2009-Jan-05 04:10:00,15.531739003103205
2009-Jan-05 04:20:00,15.500604596408916
2009-Jan-05 04:30:00,15.464603742333303
2009-Jan-05 04:40:00,15.426305796492109
