Zone Timestep,ZONE HVAC BASEBOARD RAD CONV WATER:Baseboard Total Heating Rate[W]
2009-Jan-02 07:20:00,2645.5897067470924
2009-Jan-02 07:30:00,2645.188919181903
2009-Jan-02 07:40:00,2642.713943360288
2009-Jan-02 07:50:00,2640.739359314214
2009-Jan-02 08:00:00,2639.0279685856754
2009-Jan-02 08:10:00,2633.870685142514
2009-Jan-02 08:20:00,2607.4052182590985
2009-Jan-02 08:30:00,2601.48211055563
2009-Jan-02 08:40:00,2596.8134579528955
2009-Jan-02 08:50:00,2587.9371653206786
2009-Jan-02 09:00:00,2582.066847382393
2009-Jan-02 09:10:00,2578.2009403983593
2009-Jan-02 09:20:00,2576.036002338591
2009-Jan-02 09:30:00,2574.916145684212
2009-Jan-02 09:40:00,2574.0130214150577
2009-Jan-02 09:50:00,2573.287001267609
2009-Jan-02 10:00:00,2573.1998365656536
2009-Jan-02 10:10:00,2570.4304563430833
2009-Jan-02 10:20:00,2568.285536961798
2009-Jan-02 10:30:00,2565.9114110753344
2009-Jan-02 10:40:00,2563.3393791796743
2009-Jan-02 10:50:00,2561.601749390897
2009-Jan-02 11:00:00,2559.24214876507
2009-Jan-02 11:10:00,2557.3842185826716
2009-Jan-02 11:20:00,2556.2913613679957
2009-Jan-02 11:30:00,2555.8618967083094
2009-Jan-02 11:40:00,2556.0091456247587
2009-Jan-02 11:50:00,2555.931152205906
2009-Jan-02 12:00:00,2555.8068041665924
2009-Jan-02 12:10:00,2555.490154436823
2009-Jan-02 12:20:00,2556.8805934510015
2009-Jan-02 12:30:00,2557.0560722245964
2009-Jan-02 12:40:00,2557.036532634348
2009-Jan-02 12:50:00,2556.110255338564
2009-Jan-02 13:00:00,2555.099462169109
2009-Jan-02 13:10:00,2552.6985374102073
2009-Jan-02 13:20:00,2548.525852218894
2009-Jan-02 13:30:00,2544.4066348960414
2009-Jan-02 13:40:00,2541.622583421529
2009-Jan-02 13:50:00,2539.9717464794235
2009-Jan-02 14:00:00,2538.361127915302
2009-Jan-02 14:10:00,2536.6999652492336
2009-Jan-02 14:20:00,2534.743566429506
2009-Jan-02 14:30:00,2533.0090759461655
2009-Jan-02 14:40:00,2531.6087283272886
2009-Jan-02 14:50:00,2530.4725004578713
2009-Jan-02 15:00:00,2530.380250937873
2009-Jan-02 15:10:00,2530.263647132141
2009-Jan-02 15:20:00,2530.552680945436
2009-Jan-02 15:30:00,2530.7904248986392
2009-Jan-02 15:40:00,2532.550823883803
2009-Jan-02 15:50:00,2533.643039321898
2009-Jan-02 16:00:00,2534.3993233411607
2009-Jan-02 16:10:00,2535.3046843053758
2009-Jan-02 16:20:00,2536.2898409631734
2009-Jan-02 16:30:00,2537.7072221038848
2009-Jan-02 16:40:00,2539.2424431596924
2009-Jan-02 16:50:00,2540.7076366294787
2009-Jan-02 17:00:00,2542.1048839825016
2009-Jan-02 17:10:00,2543.4188794159822
2009-Jan-02 17:20:00,2547.575261619725
2009-Jan-02 17:30:00,2550.5044658081406
2009-Jan-02 17:40:00,2552.0070539382787
2009-Jan-02 17:50:00,2552.807374932292
2009-Jan-02 18:00:00,2553.0820510510525
2009-Jan-02 18:10:00,2552.825339541591
2009-Jan-02 18:20:00,2557.641743834937
2009-Jan-02 18:30:00,2559.497991579839
2009-Jan-02 18:40:00,2568.0215416741785
2009-Jan-02 18:50:00,2576.6000879801722
2009-Jan-02 19:00:00,2590.3866311838665
2009-Jan-02 19:10:00,2601.232239580184
2009-Jan-02 19:20:00,2605.7920746432937
2009-Jan-02 19:30:00,2606.102974621099
2009-Jan-02 19:40:00,2605.2247211226986
2009-Jan-02 19:50:00,2605.074971551244
2009-Jan-02 20:00:00,2607.3252865676754
2009-Jan-02 20:10:00,2609.1641193121704
2009-Jan-02 20:20:00,2629.7594917711613
2009-Jan-02 20:30:00,2645.157980699521
2009-Jan-02 20:40:00,2650.1930149796763
2009-Jan-02 20:50:00,2649.6984763407577
2009-Jan-02 21:00:00,2648.9718728210123
2009-Jan-02 21:10:00,2649.878162710856
2009-Jan-02 21:20:00,2652.11036777045
2009-Jan-02 21:30:00,2654.7874592870617
2009-Jan-02 21:40:00,2657.2729515184474
2009-Jan-02 21:50:00,2659.5315734946444
2009-Jan-02 22:00:00,2661.720723536217
2009-Jan-02 22:10:00,2664.7423178174045
2009-Jan-02 22:20:00,2696.306305972157
2009-Jan-02 22:30:00,2719.843353106749
2009-Jan-02 22:40:00,2722.945096835131
2009-Jan-02 22:50:00,2718.2877617939125
2009-Jan-02 23:00:00,2713.7481530484765
2009-Jan-02 23:10:00,2711.833582809834
2009-Jan-02 23:20:00,2714.327178566594
2009-Jan-02 23:30:00,2717.7180312003793
2009-Jan-02 23:40:00,2720.0261014921502
2009-Jan-02 23:50:00,2721.4861290527097
2009-Jan-03 00:00:00,2722.830570042378
2009-Jan-03 00:10:00,2724.250983030078
2009-Jan-03 00:20:00,2726.2739547604506
2009-Jan-03 00:30:00,2727.9376210826445
2009-Jan-03 00:40:00,2729.0163369160387
2009-Jan-03 00:50:00,2729.849368436331
2009-Jan-03 01:00:00,2730.6956332468094
2009-Jan-03 01:10:00,2731.683721085306
2009-Jan-03 01:20:00,2729.9076493075963
2009-Jan-03 01:30:00,2725.826007094757
2009-Jan-03 01:40:00,2720.9866200126417
2009-Jan-03 01:50:00,2716.256302543863
2009-Jan-03 02:00:00,2711.6225897172512
2009-Jan-03 02:10:00,2706.8761485336927
2009-Jan-03 02:20:00,2702.214767991275
2009-Jan-03 02:30:00,2697.600371586299
2009-Jan-03 02:40:00,2692.780880270701
2009-Jan-03 02:50:00,2687.5168424424633
2009-Jan-03 03:00:00,2681.409144156865
